UniProt_accession	UniProt_fasta_header	UniProt_gene_symbol	A1	A2	A3	A8	A9	B1	B2	B5	B6	B8	C5	C10	D1	D2	D3	D5	D6	D9	E3	E4	K4	K5
A0A0A0MRT6;B6VEX4;Q8IZP0;Q8IZP0-10;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9	>tr|A0A0A0MRT6|A0A0A0MRT6_HUMAN Isoform of Q8IZP0, Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;>tr|B6VEX4|B6VEX4_HUMAN Isoform of Q8IZP0, Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=1;>sp|Q8IZP0|ABI1_HUMAN Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1 PE=1 SV=4;>sp|Q8IZP0-10|ABI1_HUMAN Isoform of Q8IZP0, Isoform 10 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-12|ABI1_HUMAN Isoform of Q8IZP0, Isoform 12 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-2|ABI1_HUMAN Isoform of Q8IZP0, Isoform 2 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-3|ABI1_HUMAN Isoform of Q8IZP0, Isoform 3 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-4|ABI1_HUMAN Isoform of Q8IZP0, Isoform 4 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-5|ABI1_HUMAN Isoform of Q8IZP0, Isoform 5 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-6|ABI1_HUMAN Isoform of Q8IZP0, Isoform 6 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-7|ABI1_HUMAN Isoform of Q8IZP0, Isoform 7 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-8|ABI1_HUMAN Isoform of Q8IZP0, Isoform 8 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1;>sp|Q8IZP0-9|ABI1_HUMAN Isoform of Q8IZP0, Isoform 9 of Abl interactor 1 OS=Homo sapiens OX=9606 GN=ABI1	ABI1	363.73048441394	353.400180433007	411.937960853663	358.521321703208	355.589372948205	358.382314073165	352.506896928786	419.752694102893	360.491734166405	402.430138731451	502.822211154905	484.963708442769	456.450312910994	451.68720892245	435.196751949744	542.370761547052	427.930177623743	527.592948161285	586.255630842443	576.663397210513	539.398973756344	753.27128242673
E7EP65;E7EW77;F8WAL6;Q9NYB9;Q9NYB9-2;Q9NYB9-4	>tr|E7EP65|E7EP65_HUMAN Isoform of Q9NYB9, Abl interactor 2 (Fragment) OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;>tr|E7EW77|E7EW77_HUMAN Isoform of Q9NYB9, Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;>tr|F8WAL6|F8WAL6_HUMAN Isoform of Q9NYB9, Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=2;>sp|Q9NYB9|ABI2_HUMAN Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2 PE=1 SV=1;>sp|Q9NYB9-2|ABI2_HUMAN Isoform of Q9NYB9, Isoform 2 of Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2;>sp|Q9NYB9-4|ABI2_HUMAN Isoform of Q9NYB9, Isoform 4 of Abl interactor 2 OS=Homo sapiens OX=9606 GN=ABI2	ABI2	1008.11437046146	1429.87957918197	1453.61394271685	1822.62545727886	1654.73314880544	1713.92060506314	2046.64032973767	1772.931269572	1737.32797269531	1653.25085514048	1896.27184420385	1733.51727161147	1869.87368490682	1431.61800854345	1571.21317378727	1816.54174909967	1460.23154376564	2191.20898335103	1821.83036059227	1981.3794718677	1660.75210561735	1669.92586761582
A0A0A0MRL6;F8W8M4;O14639;O14639-2;O14639-6	>tr|A0A0A0MRL6|A0A0A0MRL6_HUMAN Isoform of O14639, Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;>tr|F8W8M4|F8W8M4_HUMAN Isoform of O14639, Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=1;>sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3;>sp|O14639-2|ABLM1_HUMAN Isoform of O14639, Isoform 2 of Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1;>sp|O14639-6|ABLM1_HUMAN Isoform of O14639, Isoform 6 of Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1	ABLIM1	44.5163703545909	17.705120647536	45.3882137738167	42.3169550235506	32.3097306671407	26.9070069293462	32.0963318205899	34.4361004917466	41.6378615021059	44.6912667126395	51.9735386132293	50.8320281816655	39.9947269919601	52.2484075539268	42.5379129984627	38.8274244824817	40.8623465745256	45.9114840456516	30.6469810762329	30.4026483350514	56.6675412966274	42.1670051316879
A0A0A0MR40;Q6H8Q1;Q6H8Q1-2;Q6H8Q1-3;Q6H8Q1-4;Q6H8Q1-5;Q6H8Q1-7;Q6H8Q1-8;Q6H8Q1-9	>tr|A0A0A0MR40|A0A0A0MR40_HUMAN Actin-binding LIM protein 2 OS=Homo sapiens GN=ABLIM2 PE=4 SV=1;>sp|Q6H8Q1|ABLM2_HUMAN Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2 PE=1 SV=2;>sp|Q6H8Q1-2|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 2 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2;>sp|Q6H8Q1-3|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 3 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2;>sp|Q6H8Q1-4|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 4 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2;>sp|Q6H8Q1-5|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 5 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2;>sp|Q6H8Q1-7|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 7 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2;>sp|Q6H8Q1-8|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 8 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2;>sp|Q6H8Q1-9|ABLM2_HUMAN Isoform of Q6H8Q1, Isoform 9 of Actin-binding LIM protein 2 OS=Homo sapiens OX=9606 GN=ABLIM2	ABLIM2	177.789199908305	243.702888860916	296.773309645796	252.29197629692	304.519576531906	282.619661366556	367.674347334728	294.393593082347	293.26578195983	279.891719007333	317.872547141922	304.927141890497	316.80926041621	213.759141805799	244.863959677145	287.626555404089	207.116971168045	296.47699748346	225.898167915502	283.480313459288	303.321837599477	287.494801958192
Q12979;Q12979-4	>sp|Q12979|ABR_HUMAN Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR PE=2 SV=2;>sp|Q12979-4|ABR_HUMAN Isoform of Q12979, Isoform 4 of Active breakpoint cluster region-related protein OS=Homo sapiens OX=9606 GN=ABR	ABR	1445.11264067271	1327.75821729612	1337.52248157168	1429.48199908765	1708.95742112838	1234.66979627844	1346.31640629054	1329.18909877464	946.828592757159	1315.53257875197	1165.70774770544	1172.43732684555	1057.55529480409	1045.48970015175	1176.43951752043	938.295758931232	1288.21452931668	1179.60644725209	1303.66498508114	1439.40033111059	1425.5353931469	1423.64476316049
P09110	>sp|P09110|THIK_HUMAN 3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens OX=9606 GN=ACAA1 PE=1 SV=2	ACAA1	337.524775403827	132.036125817297	122.508271014228	91.9719165556232	119.700303950705	259.077767100951	172.775510787317	117.552025541154	183.810692070668	121.283829912794	214.39431712941	133.846371429678	182.084928796567	318.629658373953	272.660142049168	193.665455644319	253.87039034946	239.305122078234	99.3137908947464	193.486950091158	258.143257893535	372.35520564946
P42765	>sp|P42765|THIM_HUMAN 3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2	ACAA2	1687.44943417018	1153.78849148756	765.616030333027	961.378542273487	835.893180357787	965.560489058565	916.703540825913	835.413153843261	955.981037206695	1052.44655822514	901.250278628171	653.461865214077	1166.51230020293	1736.61348394014	1537.86472116403	845.375976525253	1851.46030207451	745.205774322391	567.17955124031	671.580583503045	770.744304993796	942.584786719739
Q13085;Q13085-2;Q13085-3;Q13085-4	>sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;>sp|Q13085-2|ACACA_HUMAN Isoform of Q13085, Isoform 2 of Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA;>sp|Q13085-3|ACACA_HUMAN Isoform of Q13085, Isoform 3 of Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA;>sp|Q13085-4|ACACA_HUMAN Isoform of Q13085, Isoform 4 of Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA	ACACA	279.721226372084	184.148642940474	119.880212551483	173.572251325318	157.702634285926	133.633243211642	149.108442818185	141.500981710005	149.459021194392	187.381157925161	132.211192354012	171.273835168773	150.248878715564	95.5422636743106	130.972206987175	133.053567295418	148.490223002497	127.869521081138	213.129048317206	195.481606321002	225.574494720248	223.116577574055
Q9UKU7;Q9UKU7-2	>sp|Q9UKU7|ACAD8_HUMAN Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1;>sp|Q9UKU7-2|ACAD8_HUMAN Isoform of Q9UKU7, Isoform 2 of Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8	ACAD8	88.0458292669037	76.1260600200306	60.8435018584611	66.7972327144189	85.8527797681644	90.2593363082763	77.8089368060093	64.5604011203208	57.743755596045	62.5807667857338	88.0701750401315	46.5722253496786	57.9568527394906	79.5781860900536	71.3110712432832	59.5587227986631	54.5978697511324	48.3178803629344	9.79661605567413	39.308463062582	88.6399033261421	90.2509424664603
Q9H845	>sp|Q9H845|ACAD9_HUMAN Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD9 PE=1 SV=1	ACAD9	490.874758227752	403.346991406611	369.236366795294	551.213401216526	542.063724672209	390.110333780551	469.997069023918	231.181077889038	190.756166357426	420.831480756092	474.125848541007	468.580556375266	361.223232279809	461.188635893726	365.233293475276	363.718139202805	406.489106136751	366.317442589543	327.965015128802	407.728081355048	419.606971244992	318.92572470427
B7Z9I1;P11310;P11310-2;Q5T4U5	>tr|B7Z9I1|B7Z9I1_HUMAN Isoform of P11310, Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;>sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1;>sp|P11310-2|ACADM_HUMAN Isoform of P11310, Isoform 2 of Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM;>tr|Q5T4U5|Q5T4U5_HUMAN Isoform of P11310, Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain, isoform CRA_a OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1	ACADM	933.996950816595	734.624864866833	632.566274633895	656.991765759198	676.471829271235	540.003122292411	635.043277203379	558.315260405486	391.030049942517	559.997335741778	772.933703651803	535.812716116927	778.165642850779	978.690207091924	850.574614224772	779.688579086059	945.183907095972	752.422302957113	581.948146001835	642.976593593547	666.041905147516	609.414597160021
E9PE82;P16219	>tr|E9PE82|E9PE82_HUMAN Isoform of P16219, Short-chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADS PE=1 SV=1;>sp|P16219|ACADS_HUMAN Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADS PE=1 SV=1	ACADS	876.979139666673	614.783405262628	565.685726983958	679.361311042577	641.28781218958	773.792171594394	612.52937447642	706.427227005204	547.935335747731	466.228539841974	1137.03496834211	1066.35545817493	556.565530599582	482.367710419468	533.394340335929	820.377910331441	768.067640955523	1142.44056044343	1075.05790540843	934.865507186736	652.432348949596	536.177281739881
P45954;P45954-2	>sp|P45954|ACDSB_HUMAN Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1;>sp|P45954-2|ACDSB_HUMAN Isoform of P45954, Isoform 2 of Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB	ACADSB	226.315788951055	333.985250225205	273.691097559823	319.523673645397	356.017775692226	428.65621885593	397.474840138007	297.624108456443	188.106635448885	340.521298171192	306.359597382494	271.3383389269	342.223309047527	319.085235196479	407.95907682301	162.316858370207	264.722537865299	285.976341944861	161.329891530348	238.678536471828	300.857007130193	157.992036521222
P49748;P49748-2;P49748-3	>sp|P49748|ACADV_HUMAN Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1;>sp|P49748-2|ACADV_HUMAN Isoform of P49748, Isoform 2 of Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL;>sp|P49748-3|ACADV_HUMAN Isoform of P49748, Isoform 3 of Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL	ACADVL	1555.78096431462	1299.70750051128	1114.22624997518	1154.9970249222	1759.7718053682	1199.91478925961	1377.48621744381	1048.6582685653	973.10181265662	1239.3338232131	1228.52447464977	920.656755093939	1243.13442142822	1589.58225126151	1797.3625081408	986.685882322387	1238.00509226504	1155.7342586413	774.767902788816	950.012928671925	1276.99685675921	1307.67571238238
A0A087X1T7;E7ENV9;E7EX88;H0YM81;P16112;P16112-2;P16112-3;Q6PID9	>tr|A0A087X1T7|A0A087X1T7_HUMAN Isoform of P16112, Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=1;>tr|E7ENV9|E7ENV9_HUMAN Aggrecan core protein OS=Homo sapiens GN=ACAN PE=4 SV=2;>tr|E7EX88|E7EX88_HUMAN Aggrecan core protein OS=Homo sapiens GN=ACAN PE=4 SV=2;>tr|H0YM81|H0YM81_HUMAN Aggrecan core protein OS=Homo sapiens GN=ACAN PE=4 SV=1;>sp|P16112|PGCA_HUMAN Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=3;>sp|P16112-2|PGCA_HUMAN Isoform of P16112, Isoform 2 of Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN;>sp|P16112-3|PGCA_HUMAN Isoform of P16112, Isoform 3 of Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN;>tr|Q6PID9|Q6PID9_HUMAN Isoform of P16112, Aggrecan core protein OS=Homo sapiens OX=9606 GN=ACAN PE=1 SV=1	ACAN	424.231065205037	307.392187786278	182.305936049561	308.821247224687	354.754737956965	173.024950671402	358.354380441456	277.631841951404	313.49000282959	253.087268839723	383.157453010658	411.928123201237	443.139423492732	651.246477623382	465.333240954114	327.747878852847	475.874279807862	442.244839174976	476.25528030267	559.818860324871	216.670468289602	237.961389227015
P24752	>sp|P24752|THIL_HUMAN Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAT1 PE=1 SV=1	ACAT1	2449.21896452663	1378.07024578727	1542.060789414	1360.87575155109	1419.29128059147	1685.23675011625	1141.55172952128	1174.58418481649	1458.81241946698	1501.84194589787	2937.21423443525	2102.13840229806	2081.4309216151	2165.60435070461	2307.41599979544	2687.83292414618	2431.87905404549	2160.71166804946	865.939857977288	915.86160278655	1974.35213558953	2865.74045929693
Q9BWD1;Q9BWD1-2	>sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2;>sp|Q9BWD1-2|THIC_HUMAN Isoform of Q9BWD1, Isoform 2 of Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2	ACAT2	124.022792357151	110.588314836535	253.725010852706	99.6836860380868	110.981478383549	81.3013183414628	54.155101208004	18.4696808120048	120.37675410555	121.857694250392	106.791902632095	73.4148943691449	80.4618176045666	95.8383941191984	100.206656358202	107.568225144872	75.413297457226	118.108441554606	62.588026342694	75.7326578512788	31.1989909870392	58.4354669565297
Q9H3P7	>sp|Q9H3P7|GCP60_HUMAN Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4	ACBD3	1.34866149450528	7.02070796919265	11.4938585017773	12.3267164752607	12.2606802389316	18.133963429595	26.5687465169294	16.2143130056531	10.0865948517391	14.961051203719	11.1082850812449	11.1035191768286	21.1504557274745	14.6896601161307	14.3729248650436	14.186271201044	8.9873925609348	11.1935653602143	6.73990697729589	12.3831743031663	20.1868660201262	5.02810647789729
Q8N6N7	>sp|Q8N6N7|ACBD7_HUMAN Acyl-CoA-binding domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ACBD7 PE=1 SV=1	ACBD7	69.8397049122967	5.13528814846266	12.5672121457519	15.4470304179013	32.5287750900296	11.1173494840506	47.6956411264662	77.2084304274698	65.4904986207573	136.133502794475	170.777221784445	55.3294688872366	146.120168367849	202.140127628777	205.833540091855	71.9450733309044	366.459956132931	63.0908836756357	3.93469099193462	15.7448480797891	38.7591811996642	44.7203450718203
P53396	>sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	ACLY	1999.17865472999	2059.12937953674	1971.02784828662	1902.31536137242	1584.52455452677	1421.73621427158	1473.80557151819	1735.65065795626	1432.98450786004	1595.37158654362	1356.83920820733	1921.74076575078	1385.39643808812	1542.17959152696	1124.47378835531	1462.91599686478	1321.79005650928	1528.42640086273	1753.24526604762	2020.918854941	1666.1496272771	1818.30899903485
